Jan 19, 2018 4:40:57 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/opendaylight/lock
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 19, 2018 4:40:58 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-01-19 04:40:58,818 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.features.repos.cfg
2018-01-19 04:40:58,820 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.org.apache.karaf.bundle.cfg
2018-01-19 04:40:58,821 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.system.cfg
2018-01-19 04:40:58,832 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.osgi.compendium.cm.cfg
2018-01-19 04:40:58,833 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.cfg
2018-01-19 04:40:58,843 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2018-01-19 04:40:58,844 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.jaas.cfg
2018-01-19 04:40:58,847 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.management.cfg
2018-01-19 04:40:58,857 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.feature.cfg
2018-01-19 04:40:58,858 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.features.obr.cfg
2018-01-19 04:40:58,863 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.log.cfg
2018-01-19 04:41:01,544 | WARN  | Event Dispatcher | FeatureValidationUtil            | 20 - org.apache.karaf.features.core - 3.0.8 | Old style feature file without namespace found (URI: mvn:io.fabric8/karaf-features/2.0.20/xml/features). This format is deprecated and support for it will soon be removed
2018-01-19 04:41:01,585 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature config 3.0.8
2018-01-19 04:41:01,593 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature standard 3.0.8
2018-01-19 04:41:01,627 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature region 3.0.8
2018-01-19 04:41:01,633 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature package 3.0.8
2018-01-19 04:41:01,637 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature kar 3.0.8
2018-01-19 04:41:01,643 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature ssh 3.0.8
2018-01-19 04:41:01,652 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature management 3.0.8
2018-01-19 04:41:01,663 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-dlux-core 0.5.3-SNAPSHOT
2018-01-19 04:41:01,663 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature http 3.0.8
2018-01-19 04:41:01,663 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature pax-http 3.2.9
2018-01-19 04:41:01,663 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature pax-jetty 8.1.19.v20160209
2018-01-19 04:41:01,850 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-restconf 1.5.3-SNAPSHOT
2018-01-19 04:41:01,850 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-restconf-noauth 1.5.3-SNAPSHOT
2018-01-19 04:41:01,850 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-aaa-shiro 0.5.3-SNAPSHOT
2018-01-19 04:41:01,850 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-aaa-authn 0.5.3-SNAPSHOT
2018-01-19 04:41:01,851 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-aaa-api 0.5.3-SNAPSHOT
2018-01-19 04:41:01,851 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-common 1.1.3-SNAPSHOT
2018-01-19 04:41:01,851 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-guava-18 1.8.3-SNAPSHOT
2018-01-19 04:41:01,861 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-triemap-0.2 1.8.3-SNAPSHOT
2018-01-19 04:41:01,891 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-base 2.2.3-SNAPSHOT
2018-01-19 04:41:01,913 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-broker 1.5.3-SNAPSHOT
2018-01-19 04:41:01,913 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-remoterpc-connector 1.5.3-SNAPSHOT
2018-01-19 04:41:01,913 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-broker-local 1.5.3-SNAPSHOT
2018-01-19 04:41:01,913 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-dom-adapter 2.2.3-SNAPSHOT
2018-01-19 04:41:01,913 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-runtime 2.2.3-SNAPSHOT
2018-01-19 04:41:01,914 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-yang-data 1.1.3-SNAPSHOT
2018-01-19 04:41:01,914 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-yang-parser 1.1.3-SNAPSHOT
2018-01-19 04:41:02,007 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-api 2.2.3-SNAPSHOT
